id,time,value
che.lrhutttt.st,1999-04-01,3.144907
che.lrhutttt.st,2000-04-01,2.664994
che.lrhutttt.st,2001-04-01,2.490901
che.lrhutttt.st,2002-04-01,2.92339
che.lrhutttt.st,2003-04-01,4.115555
che.lrhutttt.st,2004-04-01,4.316408
che.lrhutttt.st,2005-04-01,4.436162
che.lrhutttt.st,2006-04-01,3.99981
che.lrhutttt.st,2007-04-01,3.650983
che.lrhutttt.st,2008-04-01,3.350551
che.lrhutttt.st,2009-04-01,4.115744
che.lrhutttt.st,2010-01-01,5.394644
che.lrhutttt.st,2010-04-01,4.633616
che.lrhutttt.st,2010-07-01,4.919581
che.lrhutttt.st,2010-10-01,4.266088
che.lrhutttt.st,2011-01-01,4.679869
che.lrhutttt.st,2011-04-01,3.915036
che.lrhutttt.st,2011-07-01,4.60484
che.lrhutttt.st,2011-10-01,4.405869
che.lrhutttt.st,2012-01-01,4.539017
che.lrhutttt.st,2012-04-01,4.064735
che.lrhutttt.st,2012-07-01,4.6502
che.lrhutttt.st,2012-10-01,4.681807
che.lrhutttt.st,2013-01-01,5.136643
che.lrhutttt.st,2013-04-01,4.524463
che.lrhutttt.st,2013-07-01,4.887658
che.lrhutttt.st,2013-10-01,4.437991
che.lrhutttt.st,2014-01-01,5.316216
che.lrhutttt.st,2014-04-01,4.661153
che.lrhutttt.st,2014-07-01,5.051579
che.lrhutttt.st,2014-10-01,4.288266
che.lrhutttt.st,2015-01-01,4.725189
che.lrhutttt.st,2015-04-01,4.439193
che.lrhutttt.st,2015-07-01,5.157581
che.lrhutttt.st,2015-10-01,4.878757
che.lrhutttt.st,2016-01-01,5.339957
che.lrhutttt.st,2016-04-01,4.62711
che.lrhutttt.st,2016-07-01,5.107788
che.lrhutttt.st,2016-10-01,4.599988
che.lrhutttt.st,2017-01-01,5.268037
che.lrhutttt.st,2017-04-01,4.394223
che.lrhutttt.st,2017-07-01,4.983716
che.lrhutttt.st,2017-10-01,4.542481
che.lrhutttt.st,2018-01-01,5.226003
che.lrhutttt.st,2018-04-01,4.618306
che.lrhutttt.st,2018-07-01,4.416738
che.lrhutttt.st,2018-10-01,4.59586
che.lrhutttt.st,2019-01-01,4.935609
che.lrhutttt.st,2019-04-01,4.167597
che.lrhutttt.st,2019-07-01,4.572172
che.lrhutttt.st,2019-10-01,3.902429
che.lrhutttt.st,2020-01-01,4.494063
che.lrhutttt.st,2020-04-01,4.58221
che.lrhutttt.stsa,1999-04-01,3.144907
che.lrhutttt.stsa,2000-04-01,2.664994
che.lrhutttt.stsa,2001-04-01,2.490901
che.lrhutttt.stsa,2002-04-01,2.92339
che.lrhutttt.stsa,2003-04-01,4.115555
che.lrhutttt.stsa,2004-04-01,4.316408
che.lrhutttt.stsa,2005-04-01,4.436162
che.lrhutttt.stsa,2006-04-01,3.99981
che.lrhutttt.stsa,2007-04-01,3.650983
che.lrhutttt.stsa,2008-04-01,3.350551
che.lrhutttt.stsa,2009-04-01,4.115744
che.lrhutttt.stsa,2010-01-01,5.042059
che.lrhutttt.stsa,2010-04-01,4.950612
che.lrhutttt.stsa,2010-07-01,4.776166
che.lrhutttt.stsa,2010-10-01,4.444
che.lrhutttt.stsa,2011-01-01,4.381019
che.lrhutttt.stsa,2011-04-01,4.178884
che.lrhutttt.stsa,2011-07-01,4.461938
che.lrhutttt.stsa,2011-10-01,4.586877
che.lrhutttt.stsa,2012-01-01,4.232762
che.lrhutttt.stsa,2012-04-01,4.32444
che.lrhutttt.stsa,2012-07-01,4.504085
che.lrhutttt.stsa,2012-10-01,4.874351
che.lrhutttt.stsa,2013-01-01,4.792919
che.lrhutttt.stsa,2013-04-01,4.822156
che.lrhutttt.stsa,2013-07-01,4.736925
che.lrhutttt.stsa,2013-10-01,4.636983
che.lrhutttt.stsa,2014-01-01,4.967164
che.lrhutttt.stsa,2014-04-01,4.974679
che.lrhutttt.stsa,2014-07-01,4.891374
che.lrhutttt.stsa,2014-10-01,4.477668
che.lrhutttt.stsa,2015-01-01,4.401793
che.lrhutttt.stsa,2015-04-01,4.727315
che.lrhutttt.stsa,2015-07-01,4.985295
che.lrhutttt.stsa,2015-10-01,5.085412
che.lrhutttt.stsa,2016-01-01,4.97717
che.lrhutttt.stsa,2016-04-01,4.934945
che.lrhutttt.stsa,2016-07-01,4.953367
che.lrhutttt.stsa,2016-10-01,4.806677
che.lrhutttt.stsa,2017-01-01,4.918076
che.lrhutttt.stsa,2017-04-01,4.694241
che.lrhutttt.stsa,2017-07-01,4.834247
che.lrhutttt.stsa,2017-10-01,4.741162
che.lrhutttt.stsa,2018-01-01,4.876605
che.lrhutttt.stsa,2018-04-01,4.919204
che.lrhutttt.stsa,2018-07-01,4.271272
che.lrhutttt.stsa,2018-10-01,4.785225
che.lrhutttt.stsa,2019-01-01,4.624613
che.lrhutttt.stsa,2019-04-01,4.454711
che.lrhutttt.stsa,2019-07-01,4.426384
che.lrhutttt.stsa,2019-10-01,4.072736
che.lrhutttt.stsa,2020-01-01,4.208988
che.lrhutttt.stsa,2020-04-01,4.902433
